sqrt_spheres;rays_per_pixel;rays_depth;resolution;time_opencl;cpp_opencl;time_data_transfert;cpp_data_transfert;time_cpu; cpp_cpu
2;1;5;36864;534;15.209961;353;10.054524;3214;244.118927
2;1;5;230400;833;3.796224;1485;6.767578;18999;230.890625
2;1;5;404496;1;0.002596;2623;6.808844;33180;229.678421
2;1;5;921600;1730;1.971029;5857;6.673014;75957;230.772141
2;1;5;2073600;3012;1.525174;12486;6.322483;172688;233.182098
2;1;5;3686400;5002;1.424723;22165;6.313273;318583;241.979263
2;1;5;8294400;12924;1.636068;53246;6.740488;698351;235.747345
2;1;5;33177600;39467;1.249046;195231;6.178643;2743043;231.497162
2;1;15;36864;540;15.380859;287;8.174642;3367;255.740021
2;1;15;230400;984;4.484375;1519;6.922526;23187;281.786469
2;1;15;404496;2;0.005192;3068;7.963985;33800;233.970169
2;1;15;921600;1903;2.168132;5642;6.428060;76725;233.105469
2;1;15;2073600;3466;1.755064;12578;6.369068;173153;233.809998
2;1;15;3686400;5673;1.615845;22279;6.345744;308365;234.218216
2;1;15;8294400;11970;1.515299;49612;6.280454;693625;234.151962
2;1;15;33177600;45721;1.446972;194971;6.170415;2892306;244.094101
2;1;50;36864;620;17.659506;277;7.889811;3246;246.549484
2;1;50;230400;962;4.384115;1548;7.054688;22359;271.723969
2;1;50;404496;2;0.005192;2994;7.771894;37249;257.844818
2;1;50;921600;1984;2.260417;5643;6.429199;77071;234.156677
2;1;50;2073600;3650;1.848235;12594;6.377170;173741;234.603989
2;1;50;3686400;5966;1.699300;22108;6.297038;309243;234.885086
2;1;50;8294400;13244;1.676577;48945;6.196018;693004;233.942322
2;1;50;33177600;48274;1.527769;196062;6.204943;2845440;240.138885
2;10;5;36864;944;26.888021;277;7.889811;34121;2591.655762
2;10;5;230400;3052;13.908854;1485;6.767578;182247;2214.807129
2;10;5;404496;1;0.002596;2638;6.847781;319655;2212.714111
2;10;5;921600;10171;11.588054;5478;6.241211;721869;2193.178223
2;10;5;2073600;23810;12.056568;12633;6.396918;1629761;2200.680176
2;10;5;3686400;40261;11.467569;22062;6.283936;2876584;2184.905518
2;10;5;8294400;86180;10.909650;49217;6.230451;6534532;2205.908691
2;10;5;33177600;305783;9.677378;208573;6.600889;27380742;2310.778320
2;10;15;36864;1221;34.777832;285;8.117676;34470;2618.164062
2;10;15;230400;3963;18.060547;2014;9.178386;185848;2258.569336
2;10;15;404496;2;0.005192;2739;7.109959;330191;2285.646240
2;10;15;921600;12560;14.309896;5751;6.552246;772122;2345.856689
2;10;15;2073600;35202;17.825087;13234;6.701244;1758643;2374.710938
2;10;15;3686400;48296;13.756185;23827;6.786662;3025042;2297.666504
2;10;15;8294400;111328;14.093171;49554;6.273112;6670238;2251.719971
2;10;15;33177600;381014;12.058277;194581;6.158072;26702721;2253.557129
2;10;50;36864;2032;57.877605;288;8.203125;61609;4679.502930
2;10;50;230400;4143;18.880859;1448;6.598958;186716;2269.118164
2;10;50;404496;1;0.002596;2597;6.741352;336485;2329.214600
2;10;50;921600;13254;15.100586;5551;6.324381;781026;2372.908936
2;10;50;2073600;38125;19.305193;12960;6.562500;1760849;2377.689697
2;10;50;3686400;56435;16.074423;23716;6.755045;3042502;2310.928223
2;10;50;8294400;130321;16.497522;48806;6.178421;6695680;2260.308594
2;10;50;33177600;408716;12.934986;195118;6.175067;26708797;2254.069824
2;50;5;36864;3212;91.487633;284;8.089192;161010;12229.492188
2;50;5;230400;13879;63.250652;1493;6.804037;956009;11618.164062
2;50;5;404496;2;0.005192;2753;7.146301;1668595;11550.338867
2;50;5;921600;66754;76.054359;6393;7.283691;3703954;11253.332031
2;50;5;2073600;145653;73.753685;12467;6.312862;8340180;11261.817383
2;50;5;3686400;201262;57.325603;22013;6.269979;14568059;11065.148438
2;50;5;8294400;411285;52.065159;49236;6.232856;32447048;10953.382812
2;50;5;33177600;1812659;57.366776;193948;6.138039;129671339;10943.519531
2;50;15;36864;4405;125.467934;288;8.203125;149022;11318.945312
2;50;15;230400;16795;76.539711;1492;6.799479;923992;11229.069336
2;50;15;404496;2;0.005192;2645;6.865952;1616835;11192.045898
2;50;15;921600;60331;68.736496;5638;6.423502;3659414;11118.010742
2;50;15;2073600;130986;66.326820;12441;6.299696;8191612;11061.205078
2;50;15;3686400;202512;57.681641;21950;6.252035;14783346;11228.669922
2;50;15;8294400;434456;54.998409;48298;6.114113;32789120;11068.858398
2;50;15;33177600;1850456;58.562969;194928;6.169054;130935758;11050.230469
2;50;50;36864;8128;231.510422;301;8.573405;149372;11345.529297
2;50;50;230400;17776;81.010414;1483;6.758463;925660;11249.339844
2;50;50;404496;1;0.002596;2637;6.845185;1620608;11218.164062
2;50;50;921600;63478;72.321938;5504;6.270833;3807092;11566.685547
2;50;50;2073600;135593;68.659653;12420;6.289062;8245820;11134.402344
2;50;50;3686400;216158;61.568443;22185;6.318970;14657050;11132.742188
2;50;50;8294400;453956;57.466942;49154;6.222476;32965284;11128.327148
2;50;50;33177600;1826597;57.807884;193610;6.127342;131118344;11065.639648
2;100;5;36864;5919;168.591309;289;8.231608;288090;21881.835938
2;100;5;230400;27157;123.762367;1609;7.332682;1811446;22014.099609
2;100;5;404496;1;0.002596;2627;6.819227;3143838;21762.257812
2;100;5;921600;101794;115.976234;5595;6.374512;7227247;21957.781250
2;100;5;2073600;200952;101.755211;12556;6.357928;16012113;21621.292969
2;100;5;3686400;334327;95.226608;22006;6.267985;28525701;21666.656250
2;100;5;8294400;787624;99.706451;48823;6.180574;66638350;22495.585938
2;100;5;33177600;3024831;95.729424;193339;6.118765;258621422;21826.169922
2;100;15;36864;8383;238.773605;281;8.003743;309614;23516.687500
2;100;15;230400;32950;150.162766;2272;10.354167;1937835;23550.078125
2;100;15;404496;1;0.002596;2639;6.850377;3296683;22820.281250
2;100;15;921600;183208;208.733078;5613;6.395020;7745021;23530.880859
2;100;15;2073600;290578;147.138748;12490;6.324508;16563416;22365.724609
2;100;15;3686400;446549;127.190880;21951;6.252319;29600683;22483.158203
2;100;15;8294400;1290934;163.421188;50313;6.369195;66236623;22359.972656
2;100;15;33177600;3909132;123.715652;198607;6.285486;264687353;22338.101562
2;100;50;36864;16079;457.979340;288;8.203125;301496;22900.085938
2;100;50;230400;44332;202.033859;1499;6.831380;1872444;22755.396484
2;100;50;404496;2;0.005192;2672;6.936039;3227982;22344.718750
2;100;50;921600;140797;160.413254;5631;6.415527;7431249;22577.580078
2;100;50;2073600;246154;124.643951;12544;6.351852;16553689;22352.587891
2;100;50;3686400;434250;123.687744;22274;6.344320;29312559;22264.312500
2;100;50;8294400;965426;122.214661;52379;6.630733;66092354;22311.269531
2;100;50;33177600;3794538;120.089005;193223;6.115094;264111749;22289.523438
6;1;5;36864;630;17.944336;282;8.032227;7875;598.144531
6;1;5;230400;1394;6.352865;1494;6.808594;50344;611.819458
6;1;5;404496;2;0.005192;2583;6.705011;88043;609.450745
6;1;5;921600;3774;4.299805;5610;6.391602;204340;620.824646
6;1;5;2073600;7756;3.927373;12422;6.290075;443325;598.625549
6;1;5;3686400;13119;3.736694;22256;6.339193;775898;589.332214
6;1;5;8294400;28900;3.658493;49476;6.263238;1767047;596.514709
6;1;5;33177600;113295;3.585544;194987;6.170921;6991317;590.027222
6;1;15;36864;707;20.137533;285;8.117676;8792;667.795166
6;1;15;230400;1518;6.917969;1436;6.544271;52138;633.621521
6;1;15;404496;2;0.005192;2923;7.587591;90151;624.042786
6;1;15;921600;4352;4.958333;5633;6.417806;210865;640.648865
6;1;15;2073600;8912;4.512732;12474;6.316406;455381;614.904846
6;1;15;3686400;15575;4.436239;22024;6.273112;809510;614.862244
6;1;15;8294400;34042;4.309426;49529;6.269947;1835311;619.559082
6;1;15;33177600;132351;4.188626;195001;6.171364;8103795;683.914001
6;1;50;36864;909;25.891113;281;8.003743;8193;622.298157
6;1;50;230400;2494;11.365886;1470;6.699219;53530;650.538208
6;1;50;404496;2;0.005192;2637;6.845185;90296;625.046448
6;1;50;921600;5126;5.840169;5658;6.446289;213164;647.633667
6;1;50;2073600;10529;5.331525;12584;6.372107;461083;622.604370
6;1;50;3686400;17902;5.099040;22269;6.342896;800860;608.292053
6;1;50;8294400;39809;5.039478;49668;6.287543;1815203;612.771057
6;1;50;33177600;157684;4.990361;194723;6.162566;7256094;612.372925
6;10;5;36864;1859;52.950031;287;8.174642;86260;6551.866211
6;10;5;230400;7888;35.947918;1459;6.649088;486050;5906.857910
6;10;5;404496;2;0.005192;2606;6.764715;869491;6018.786133
6;10;5;921600;29122;33.179363;5697;6.490723;1932126;5870.174316
6;10;5;2073600;64474;32.647423;12424;6.291088;4382180;5917.295410
6;10;5;3686400;104442;29.748289;22212;6.326660;7662939;5820.374512
6;10;5;8294400;234359;29.667841;49389;6.252224;17393234;5871.558594
6;10;5;33177600;958579;30.336973;193740;6.131456;68695097;5797.474121
6;10;15;36864;2621;74.654137;284;8.089192;81529;6192.523926
6;10;15;230400;11155;50.836590;1497;6.822266;497090;6041.024414
6;10;15;404496;2;0.005192;2598;6.743948;890114;6161.542480
6;10;15;921600;44900;51.155598;5630;6.414388;1983058;6024.915527
6;10;15;2073600;89965;45.555191;12438;6.298177;4478024;6046.714355
6;10;15;3686400;140528;40.026691;22083;6.289917;7946061;6035.419434
6;10;15;8294400;327454;41.452869;52472;6.642506;18121432;6117.381836
6;10;15;33177600;1198138;37.918503;194513;6.155920;71955856;6072.663086
6;10;50;36864;4657;132.645676;276;7.861328;84847;6444.541992
6;10;50;230400;12408;56.546875;1494;6.808594;503179;6115.022949
6;10;50;404496;2;0.005192;2631;6.829610;875591;6061.011719
6;10;50;921600;55403;63.121910;5588;6.366537;2015394;6123.158691
6;10;50;2073600;97670;49.456745;12426;6.292101;4475257;6042.978516
6;10;50;3686400;169559;48.295612;22111;6.297892;7959085;6045.312012
6;10;50;8294400;329287;41.684914;50425;6.383373;17706384;5977.270508
6;10;50;33177600;1285867;40.694939;195302;6.180890;72296725;6101.431152
6;50;5;36864;8218;234.073898;563;16.035971;387865;29460.232422
6;50;5;230400;42532;193.830734;1517;6.913412;2427526;29501.183594
6;50;5;404496;2;0.005192;2636;6.842589;4237738;29334.447266
6;50;5;921600;157091;178.977371;5642;6.428060;9616671;29217.316406
6;50;5;2073600;307852;155.885712;13775;6.975188;21581300;29141.416016
6;50;5;3686400;531989;151.526825;22016;6.270833;38578178;29302.000000
6;50;5;8294400;1234160;156.234085;49660;6.286530;87096923;29401.931641
6;50;5;33177600;4763626;150.758560;192863;6.103701;342963924;28944.197266
6;50;15;36864;11336;322.884125;320;9.114583;404591;30730.652344
6;50;15;230400;56916;259.382812;1498;6.826823;2499378;30374.384766
6;50;15;404496;1;0.002596;2605;6.762119;4392043;30402.576172
6;50;15;921600;207983;236.959793;5660;6.448568;9944911;30214.574219
6;50;15;2073600;375102;189.938797;12626;6.393374;22128926;29880.880859
6;50;15;3686400;665282;189.492767;22195;6.321818;39743984;30187.488281
6;50;15;8294400;1498992;189.759552;49633;6.283113;88087661;29736.382812
6;50;15;33177600;5968730;188.897537;192919;6.105473;355640811;30014.052734
6;50;50;36864;18661;531.522644;284;8.089192;412116;31302.214844
6;50;50;230400;59439;270.880859;1816;8.276042;2509500;30497.396484
6;50;50;404496;2;0.005192;2649;6.876335;4394964;30422.796875
6;50;50;921600;214128;243.960938;5689;6.481608;9996497;30371.302734
6;50;50;2073600;438091;221.834274;12650;6.405527;22436909;30296.750000
6;50;50;3686400;740380;210.882965;22279;6.345744;39794127;30225.576172
6;50;50;8294400;1667718;211.118805;50003;6.329952;89464179;30201.062500
6;50;50;33177600;6609625;209.180481;195217;6.178200;359079266;30304.238281
6;100;5;36864;15838;451.114899;287;8.174642;798400;60642.359375
6;100;5;230400;89279;406.870453;1514;6.899740;4862918;59097.960938
6;100;5;404496;2;0.005192;3099;8.044456;8443420;58446.996094
6;100;5;921600;309327;352.423340;5655;6.442871;19295962;58624.882812
6;100;5;2073600;601499;304.578491;12481;6.319951;43383698;58581.378906
6;100;5;3686400;1065786;303.568604;22419;6.385620;76171677;57856.093750
6;100;5;8294400;2450142;310.166992;49424;6.256655;173003425;58402.003906
6;100;5;33177600;9651567;305.451416;195616;6.190827;687717779;58039.449219
6;100;15;36864;22159;631.156433;285;8.117676;785949;59696.644531
6;100;15;230400;110558;503.845062;1451;6.612630;4963850;60324.562500
6;100;15;404496;2;0.005192;2644;6.863356;8703662;60248.441406
6;100;15;921600;385683;439.417480;5593;6.372233;19801805;60161.730469
6;100;15;2073600;776450;393.167694;12631;6.395905;44742189;60415.761719
6;100;15;3686400;1430125;407.343536;22240;6.334635;79433221;60333.394531
6;100;15;8294400;3061734;387.589294;49564;6.274378;176885249;59712.417969
6;100;15;33177600;12198139;386.044983;194782;6.164433;706962401;59663.593750
6;100;50;36864;36528;1040.429688;289;8.231608;790861;60069.734375
6;100;50;230400;171631;782.172485;1467;6.685547;4974560;60454.718750
6;100;50;404496;2;0.005192;2630;6.827014;8797135;60895.480469
6;100;50;921600;441531;503.046387;5632;6.416667;19885859;60417.109375
6;100;50;2073600;906445;458.992676;12468;6.313368;45150294;60966.835938
6;100;50;3686400;1541754;439.138916;22013;6.269979;79032390;60028.941406
6;100;50;8294400;3465009;438.640472;49560;6.273871;179426657;60570.343750
6;100;50;33177600;13546444;428.715942;192992;6.107784;719566312;60727.289062
11;1;5;36864;942;26.831055;280;7.975260;22023;1672.753906
11;1;5;230400;3027;13.794922;1488;6.781250;196039;2382.418213
11;1;5;404496;2;0.005192;2657;6.897101;231195;1600.376709
11;1;5;921600;10262;11.691731;5951;6.780111;523111;1589.312866
11;1;5;2073600;22281;11.282335;12698;6.429832;1204837;1626.901855
11;1;5;3686400;39426;11.229736;22429;6.388468;2140179;1625.569946
11;1;5;8294400;87807;11.115614;49642;6.284252;4856349;1639.392456
11;1;5;33177600;307931;9.745357;194936;6.169307;19132278;1614.655029
11;1;15;36864;1201;34.208172;305;8.687337;22395;1701.009155
11;1;15;230400;3909;17.814453;1483;6.758463;164170;1995.121582
11;1;15;404496;2;0.005192;2629;6.824419;249819;1729.295654
11;1;15;921600;13119;14.946777;5632;6.416667;566265;1720.423218
11;1;15;2073600;29816;15.097801;12459;6.308811;1300517;1756.099365
11;1;15;3686400;49789;14.181437;21970;6.257731;2287017;1737.100586
11;1;15;8294400;135315;17.129721;49527;6.269694;5223277;1763.259033
11;1;15;33177600;436079;13.800966;194539;6.156743;20175202;1702.671875
11;1;50;36864;1517;43.208820;287;8.174642;24959;1895.757324
11;1;50;230400;5023;22.891275;1559;7.104818;150197;1825.310791
11;1;50;404496;1;0.002596;2599;6.746544;263305;1822.648438
11;1;50;921600;15188;17.304037;5823;6.634277;576626;1751.901978
11;1;50;2073600;32608;16.511574;12506;6.332610;1310302;1769.312134
11;1;50;3686400;56775;16.171265;22003;6.267130;2314979;1758.338989
11;1;50;8294400;145845;18.462729;49806;6.305013;5214484;1760.290771
11;1;50;33177600;507187;16.051382;194955;6.169909;20678933;1745.183838
11;10;5;36864;4370;124.471031;324;9.228516;229003;17393.890625
11;10;5;230400;21692;98.856773;1464;6.671875;1361809;16549.761719
11;10;5;404496;2;0.005192;2652;6.884122;2352639;16285.425781
11;10;5;921600;82326;93.795906;5659;6.447428;5357354;16276.683594
11;10;5;2073600;219645;111.220703;12454;6.306279;12141279;16394.474609
11;10;5;3686400;339580;96.722824;21945;6.250610;21315158;16189.898438
11;10;5;8294400;725462;91.837273;49736;6.296152;47975297;16195.364258
11;10;5;33177600;2959123;93.649910;193826;6.134178;194155632;16385.626953
11;10;15;36864;8562;243.872070;445;12.674968;228344;17343.835938
11;10;15;230400;39491;179.972015;1781;8.116536;1423629;17301.046875
11;10;15;404496;1;0.002596;2654;6.889314;2459785;17027.109375
11;10;15;921600;152357;173.583817;5653;6.440592;5729174;17406.343750
11;10;15;2073600;289146;146.413620;12705;6.433377;12781034;17258.339844
11;10;15;3686400;482388;137.398926;21990;6.263428;22512206;17099.115234
11;10;15;8294400;1088072;137.740601;49624;6.281973;50933614;17194.025391
11;10;15;33177600;4363362;138.091064;195308;6.181080;204951672;17296.750000
11;10;50;36864;10588;301.578766;595;16.947428;236792;17985.503906
11;10;50;230400;52157;237.694656;1438;6.553385;1452915;17656.953125
11;10;50;404496;1;0.002596;2774;7.200813;2547799;17636.361328
11;10;50;921600;164807;187.768387;5698;6.491862;5687336;17279.232422
11;10;50;2073600;324830;164.482773;12450;6.304254;12880622;17392.816406
11;10;50;3686400;593662;169.093170;22567;6.427775;23028686;17491.406250
11;10;50;8294400;1220829;154.546494;49866;6.312609;51432037;17362.281250
11;10;50;33177600;4875413;154.296387;195297;6.180732;204101289;17224.984375
11;50;5;36864;23311;663.968933;288;8.203125;1107420;84113.929688
11;50;5;230400;129274;589.139282;1491;6.794922;6729337;81780.132812
11;50;5;404496;1;0.002596;2577;6.689436;11634971;80539.531250
11;50;5;921600;430550;490.535492;5585;6.363119;27004375;82044.539062
11;50;5;2073600;969130;490.734222;12526;6.342737;60163013;81238.640625
11;50;5;3686400;1714173;488.249146;22224;6.330078;106567520;80943.210938
11;50;5;8294400;3756630;475.557190;49658;6.286277;240903093;81323.375000
11;50;5;33177600;15456176;489.154877;194182;6.145445;971272259;81969.835938
11;50;15;36864;46224;1316.601562;289;8.231608;1131893;85972.781250
11;50;15;230400;201253;917.168640;1505;6.858724;7288064;88570.218750
11;50;15;404496;2;0.005192;2790;7.242346;12437909;86097.625000
11;50;15;921600;682555;777.650574;5546;6.318685;28166853;85576.375000
11;50;15;2073600;1474337;746.553772;12404;6.280961;63453473;85681.773438
11;50;15;3686400;2551974;726.880615;21999;6.265991;111888824;84985.007812
11;50;15;8294400;5901389;747.065308;50789;6.429452;256567372;86611.289062
11;50;15;33177600;22699624;718.394531;193218;6.114936;1008638579;85123.335938
11;50;50;36864;52027;1481.888916;288;8.203125;1144736;86948.265625
11;50;50;230400;223021;1016.371765;1508;6.872396;7237678;87957.890625
11;50;50;404496;2;0.005192;2604;6.759523;12460516;86254.117188
11;50;50;921600;871370;992.771790;5640;6.425781;29540904;89751.015625
11;50;50;2073600;1752403;887.356873;12445;6.301722;63512800;85761.882812
11;50;50;3686400;3073335;875.380249;22003;6.267130;113430588;86156.046875
11;50;50;8294400;6788253;859.334717;49495;6.265643;258649836;87314.273438
11;50;50;33177600;26759507;846.881104;192906;6.105062;1028462544;86796.367188
11;100;5;36864;52670;1500.203491;302;8.601888;2148629;163198.812500
11;100;5;230400;259015;1180.406982;1518;6.917969;13314330;161806.093750
11;100;5;404496;2;0.005192;2744;7.122938;23146658;160225.671875
11;100;5;921600;886480;1009.986938;5377;6.126139;53048346;161171.187500
11;100;5;2073600;1960050;992.502136;13990;7.084057;120328945;162481.203125
11;100;5;3686400;3400839;968.663452;22228;6.331217;209963088;159477.171875
11;100;5;8294400;7450094;943.118103;49620;6.281467;464435295;156782.750000
11;100;5;33177600;30818965;975.354187;193541;6.125158;1932323731;163077.093750
11;100;15;36864;86955;2476.745605;290;8.260091;2323336;176468.671875
11;100;15;230400;391209;1782.853516;1507;6.867838;14070573;170996.546875
11;100;15;404496;2;0.005192;2669;6.928251;24978077;172903.093750
11;100;15;921600;1485912;1692.933594;5663;6.451986;56268792;170955.531250
11;100;15;2073600;3216974;1628.965454;12616;6.388310;127302862;171898.156250
11;100;15;3686400;5360286;1526.774170;22048;6.279948;222032984;168644.859375
11;100;15;8294400;12124890;1534.907227;49629;6.282606;506459051;170969.000000
11;100;15;33177600;49290412;1559.936035;194840;6.166269;2055718649;173490.921875
11;100;50;36864;101600;2893.880127;290;8.260091;2321973;176365.140625
11;100;50;230400;473883;2159.623047;1575;7.177734;14098693;171338.281250
11;100;50;404496;2;0.005192;2723;7.068426;25881608;179157.531250
11;100;50;921600;1833057;2088.443848;5713;6.508952;57360896;174273.562500
11;100;50;2073600;3950002;2000.145630;12451;6.304760;126417298;170702.359375
11;100;50;3686400;7140705;2033.892212;22130;6.303304;232936183;176926.343750
11;100;50;8294400;15553457;1968.934448;49357;6.248173;518257044;174951.750000
11;100;50;33177600;60501959;1914.757568;194682;6.161268;2060008919;173853.000000